Date,Open,High,Low,Close,Volume
06/04/2025,"605.48","606.33","598.72","599.21","1,295,143"
06/03/2025,"600.00","606.32","593.73","603.83","1,730,268"
06/02/2025,"598.60","599.17","592.17","598.72","1,221,389"
05/30/2025,"600.00","603.60","593.83","600.45","2,129,871"
05/29/2025,"608.52","610.00","598.30","604.86","1,736,459"
05/28/2025,"617.28","618.63","607.31","608.44","2,001,916"
05/27/2025,"605.90","617.67","604.95","615.73","2,364,692"
05/23/2025,"585.00","601.96","582.50","598.54","1,530,625"
05/22/2025,"592.55","602.20","592.51","598.23","1,939,565"
05/21/2025,"601.80","609.87","592.00","593.46","2,635,920"
05/20/2025,"607.75","611.55","603.01","606.52","1,602,046"
05/19/2025,"609.19","619.38","598.34","612.30","2,842,072"
05/16/2025,"616.95","620.79","613.56","619.03","2,021,766"
05/15/2025,"609.73","619.21","609.73","615.90","2,428,097"
05/14/2025,"603.80","615.00","602.50","611.60","2,874,409"
05/13/2025,"593.30","607.71","593.06","603.81","2,765,786"
05/12/2025,"596.26","603.37","588.08","591.34","3,527,740"
05/09/2025,"570.25","572.10","565.78","567.10","1,522,728"
05/08/2025,"558.82","572.16","558.21","565.70","1,994,630"
05/07/2025,"550.21","555.38","547.74","551.92","1,955,077"
05/06/2025,"549.60","557.44","547.06","549.36","2,902,491"
05/05/2025,"558.36","566.56","557.50","559.56","2,197,371"
05/02/2025,"561.58","569.78","559.70","566.10","2,883,009"
05/01/2025,"548.10","558.35","545.50","553.83","2,583,032"
04/30/2025,"535.76","549.52","531.45","547.55","2,438,282"
04/29/2025,"543.79","550.88","541.30","548.92","1,695,565"
04/28/2025,"544.86","554.50","542.47","546.40","1,459,715"
04/25/2025,"544.60","549.09","541.22","544.86","1,612,723"
04/24/2025,"527.10","546.84","523.42","545.37","2,223,623"
04/23/2025,"533.63","551.79","528.26","529.31","3,048,077"
04/22/2025,"510.23","521.00","508.93","519.99","2,514,594"
04/21/2025,"505.40","509.27","494.68","501.36","2,859,282"
04/17/2025,"503.24","514.83","499.12","509.49","2,593,496"
04/16/2025,"501.72","509.45","492.69","499.05","2,765,570"
04/15/2025,"507.41","518.65","507.00","507.89","2,501,170"
04/14/2025,"510.00","512.00","497.15","503.98","4,392,587"
04/11/2025,"487.00","498.52","478.58","494.44","3,770,238"
04/10/2025,"503.10","503.10","474.00","489.80","5,374,481"
04/09/2025,"451.36","522.00","447.11","516.87","7,024,087"
04/08/2025,"488.25","491.92","452.83","462.22","4,240,876"
04/07/2025,"446.90","489.98","439.38","465.51","6,353,791"
04/04/2025,"487.00","492.00","460.00","470.81","8,105,212"
04/03/2025,"525.43","529.99","509.56","511.23","5,193,888"
04/02/2025,"539.80","567.32","539.08","563.10","2,560,692"
04/01/2025,"543.25","551.96","533.24","548.45","1,869,564"
03/31/2025,"533.82","547.39","528.59","546.29","2,455,063"
03/28/2025,"555.95","560.50","537.71","543.12","2,773,080"
03/27/2025,"565.00","566.00","552.55","558.92","2,100,878"
03/26/2025,"588.39","592.64","571.00","573.92","1,952,000"
03/25/2025,"584.69","586.89","578.21","585.94","1,875,451"
03/24/2025,"575.00","582.72","573.05","580.10","1,877,703"
03/21/2025,"555.33","567.00","551.21","565.14","3,565,589"
03/20/2025,"553.10","568.44","552.00","562.68","2,531,298"
03/19/2025,"549.00","563.00","544.60","557.34","2,770,144"
03/18/2025,"550.29","553.75","546.65","551.78","2,641,018"
03/17/2025,"541.23","557.16","540.00","551.34","2,695,571"
03/14/2025,"533.99","543.57","526.70","541.41","2,808,108"
03/13/2025,"535.67","538.14","520.06","524.81","2,529,106"
03/12/2025,"544.00","545.00","528.59","535.71","3,078,055"
03/11/2025,"532.47","539.99","524.20","531.43","4,190,502"
03/10/2025,"542.30","546.47","523.13","531.66","5,272,115"
03/07/2025,"568.17","568.17","544.91","559.67","4,069,949"
03/06/2025,"580.59","586.71","564.62","567.67","4,332,338"
03/05/2025,"582.09","597.12","576.78","593.07","2,600,616"
03/04/2025,"595.98","600.00","567.57","581.14","4,061,006"
03/03/2025,"622.40","628.78","598.32","605.26","3,152,334"
02/28/2025,"607.79","623.65","604.01","622.29","3,337,195"
02/27/2025,"617.54","625.23","607.31","608.00","2,396,289"
02/26/2025,"616.67","623.13","615.20","617.77","2,001,201"
02/25/2025,"628.53","631.32","606.00","614.91","2,885,947"
02/24/2025,"633.51","637.30","614.80","626.14","3,274,124"
02/21/2025,"644.75","647.50","623.44","625.60","3,000,779"
02/20/2025,"668.03","670.28","631.66","642.26","3,929,024"
02/19/2025,"669.08","671.04","663.28","668.15","1,953,895"
02/18/2025,"662.59","672.19","661.02","672.19","2,350,419"
02/14/2025,"650.32","663.26","650.32","660.55","2,246,279"
02/13/2025,"651.83","652.00","640.51","648.95","2,031,807"
02/12/2025,"643.76","650.47","639.11","649.00","2,295,969"
02/11/2025,"646.78","649.04","643.60","647.24","2,711,608"
02/10/2025,"659.02","662.49","644.25","650.53","2,351,792"
02/07/2025,"659.40","663.87","653.16","655.90","2,616,865"
02/06/2025,"650.00","658.85","648.94","658.22","2,439,237"
02/05/2025,"638.00","646.41","635.53","645.45","1,908,212"
02/04/2025,"632.00","637.67","629.09","634.18","1,743,840"
02/03/2025,"626.00","638.48","622.48","632.37","2,102,578"
01/31/2025,"650.00","650.00","637.44","640.40","1,996,221"
01/30/2025,"644.49","649.52","641.00","645.70","1,812,825"
01/29/2025,"637.00","649.00","636.41","637.38","1,918,882"
01/28/2025,"632.20","639.08","631.81","637.80","2,338,364"
01/27/2025,"625.00","635.71","624.46","633.28","3,351,650"
01/24/2025,"630.00","640.60","628.96","636.90","3,183,456"
01/23/2025,"634.92","645.54","634.49","639.50","2,582,717"
01/22/2025,"633.44","635.60","629.71","632.73","2,835,655"
01/21/2025,"616.81","635.43","609.00","634.74","5,076,701"
01/17/2025,"617.80","627.00","613.00","625.94","3,425,198"
01/16/2025,"609.99","616.84","606.00","612.99","3,224,496"
01/15/2025,"598.00","609.41","593.00","605.92","5,119,840"
01/14/2025,"569.66","573.59","565.20","571.53","2,221,922"
01/13/2025,"557.88","566.19","556.76","562.95","1,871,155"
01/10/2025,"576.25","576.25","558.01","560.00","2,817,887"
01/08/2025,"581.04","581.20","572.67","580.02","1,513,364"
01/07/2025,"587.11","588.28","568.40","580.12","2,021,921"
01/06/2025,"584.98","593.65","579.82","583.39","2,257,017"
01/03/2025,"581.00","582.14","571.73","580.13","1,422,989"
01/02/2025,"579.31","584.31","569.74","574.97","2,219,170"
12/31/2024,"575.07","576.92","570.40","572.62","1,055,809"
12/30/2024,"567.27","576.02","565.10","573.55","1,265,884"
12/27/2024,"577.00","581.96","571.35","576.18","1,486,184"
12/26/2024,"578.15","582.59","577.50","581.23","1,092,220"
12/24/2024,"574.20","582.79","571.36","582.79","913,403"
12/23/2024,"565.00","571.64","561.80","570.78","1,519,949"
12/20/2024,"554.94","572.90","553.38","566.10","4,515,921"
12/19/2024,"561.44","567.00","553.60","553.99","2,755,784"
